Product,ProductType,IH,CH,NT,PrecioAComprar
Illusione - Fume D'amour Clementes,Box 25,235.0,,,134.0
Illusione - Haut 10 Churchill,Box 12,215.0,,,122.0
Illusione - Haut 10 Toro,Box 12,185.0,,,105.0
Illusione - HL,Box 25,275.0,,,156.0
Illusione - HL Candela,Box 25,240.0,,,137.0
Illusione - HL Maduro,Box 25,245.0,,,139.0
Illusione - La Grande Classe Rex Bundle,Box 25,115.0,,,66.0
Illusione - MK Corona,Box 25,220.0,,,125.0
Illusione - Signulare Kadosh,Box 30,245.0,,,139.0
Liga - Privada 9 Belicoso ,Box 24,330.0,,,188.0
Liga - Privada 9 Corona Doble,Box 24,360.0,,,205.0
Liga - Privada 9 Corona Viva,Box 24,285.0,,,162.0
Liga - Privada 9 Petit Corona,Box 24,232.0,,,132.0
Liga - Privada 9 Short Panatela,Box 24,220.0,,,125.0
Liga - Privada 9 Tasting Sampler,Box 5 x2,150.0,,,86.0
Liga - Privada 9 Toro ,Box 24,330.0,,,188.0
Liga - Privada T52 Corona Doble ,Box 24,380.0,,,216.0
Liga - Privada Unico Serie Dirty Rat,Box 12,180.0,,,103.0
Liga - Privada Unico Serie L40,Box 15,155.0,,,88.0
Liga - Privada Unico Serie Nasty Fritas,Box 50,310.0,,,176.0
Liga - Privada Unico Serie Papas Fritas,Box 28,150.0,,,86.0
Liga - Privada Unico Serie Papas Fritas ,Box 50,255.0,,,145.0
Liga - Privada Unico Serie Ratzilla,Box 10,150.0,,,86.0
Liga - Privada Unico Serie UF-13,Box 12,195.0,,,111.0
Liga - Privada Unico Serie Velvet Rat,Box 10,145.0,,,83.0
Liga - T52 Corona Viva,Box 24,285.0,,,162.0
Liga - T52 Robusto,Box 24,343.0,,,195.0
Liga - T52 Tasting Sampler,Box 5x3,240.0,,,137.0
Liga - UC10 Maduro Corona Doble ,Box 20,155.0,,,88.0
Liga - Undercrown Belicoso ,Box 25,192.0,,,109.0
Liga - Undercrown Limited Edition Flying Pig Collection,Box 3,35.0,,,20.0
Liga - Undercrown Maduro Churchill,Box 25,250.0,,,142.0
Liga - Undercrown Shade Flying Pig,Box 12,111.0,,,63.0
Liga - Undercrown Shady XX,Box 10,140.0,,,80.0
Liga - Undercrown Sun Grown Corona Doble,Box 25,260.0,,,148.0
Liga - Undercrown10 Maduro Corona Viva,Box 20,215.0,,,122.0
Oliva - Cain Daytona Limited Edition,Box 10,130.0,,,74.0
Oliva - Cain Daytona Robusto,Box 24,110.0,,,63.0
Oliva - Cain F 660,Box 25,205.0,,,117.0
Oliva - Nub 464 Sun Grown Torpedo,Box 25,188.0,,,107.0
Oliva - Serie V Melanio LE 2021 INTL ,Box 10,115.0,,,66.0
Oliva - Serie V Melanio Limited Edition Diadema 2019,Box 10,175.0,,,100.0
Oliva - Serie V Melanio Robusto Limited Edition 2018,Box 10,190.0,,,108.0
Oliva - Serie V No.4,Box 24,168.0,,,96.0
Plasencia - Alma del Campo Guajiro Robusto Gordo,Box 10,160.0,,,91.0
Plasencia - Alma del Campo Madrono Gordo,Box 10,190.0,,,108.0
Plasencia - Alma del Campo Sendero Toro Gordo,Box 10,180.0,,,103.0
Plasencia - Alma del Campo Travesia Toro Extra,Box 10,170.0,,,97.0
Plasencia - Alma del Campo Tribu Robusto,Box 10,150.0,,,86.0
Plasencia - Alma del Fuego Candente Robusto,Box 10,155.0,,,88.0
Plasencia - Alma del Fuego Concepcion Toro,Box 10,160.0,,,91.0
Plasencia - Alma del Fuego Flama,Box 10,155.0,,,88.0
Plasencia - Alma Fuerte Sixto I Colorado Claro,Box 10,210.0,,,120.0
Plasencia - Alma Fuerte Sixto II Hexagono,Box 10,200.0,,,114.0
Plasencia - Cosecha 146 La Musica,Box 20,195.0,,,111.0
Plasencia - Cosecha 146 Monte Carlo,Box 10,140.0,,,80.0
Plasencia - Cosecha 146 San Agustin,Box 10,125.0,,,71.0
Plasencia - Cosecha 146 San Agustin,Box 20,260.0,,,148.0
Plasencia - Cosecha 149 Azacualpa Toro,Box 10,145.0,,,83.0
Plasencia - Cosecha 149 La Vega Robusto,Box 10,130.0,,,74.0
Plasencia - Cosecha 149 Santa Fe Gordito,Box 10,120.0,,,69.0
Plasencia - Reserva 1898 Churchill,Box 20,200.0,,,114.0
Plasencia - Reserva 1898 Salamone,Box 10,120.0,,,69.0
Plasencia - Reserva Original Corona,Box 20,160.0,,,91.0
Plasencia - Reserva Original Piramide,Box 20,180.0,,,103.0
Plasencia - Reserva Original Robustos ,Box 20,160.0,,,91.0
Plasencia - Reserva Original Toro,Box 20,128.0,,,73.0
Plasencia - Year of The Ox,Box 8,250.0,,,142.0
Rocky Patel - 15th Anniversary Robusto,Box 20,115.0,,,66.0
Rocky Patel - 20th Anniversary Robusto Grande,Box 20,120.0,,,69.0
Rocky Patel - ALR 2nd Edition Robusto,Box 20,157.0,,,89.0
Rocky Patel - ALR 2nd Edition Sixty,Box 20,265.0,,,151.0
Rocky Patel - ALR 2nd Edition Toro,Box 20,245.0,,,139.0
Rocky Patel - Decade Robusto,Box 20,120.0,,,69.0
Rocky Patel - Decade Short Robusto,Box 20,118.0,,,67.0
Rocky Patel - Decade Toro,Box 20,132.0,,,75.0
Rocky Patel - LB1 Corona,Box 20,161.0,,,92.0
Rocky Patel - LB1 Robusto,Box 20,124.0,,,71.0
Rocky Patel - Number 6 Robusto,Box 20,185.0,,,105.0
Rocky Patel - Olde World Reserve Robusto Maduro,Box 20,195.0,,,111.0
Rocky Patel - Smoking World Championship Robusto,Box 20,116.0,,,66.0
Rocky Patel - Tavicusa Toro,Box 20,215.0,,,122.0
Rocky Patel - Vintage 1990 Churchill,Box 20,93.0,,,53.0
Rocky Patel - Vintage 1990 Torpedo,Box 20,111.0,,,63.0
Rocky Patel - Vintage 1992 Petite Corona,Box 20,85.0,,,49.0
Rocky Patel - Vintage 1992 Six by Sixty,Box 20,125.0,,,71.0
Rocky Patel - Vintage 1992 Torpedo,Box 20,115.0,,,66.0
Rocky Patel - Vintage 2006 San Andreas Churchill ,Box 20,190.0,,,108.0
Cohiba - Limited Production Humidor Short,Box 50,165.0,,,94.0
Cohiba - Mini,Box 100,105.0,,,60.0
Cohiba - Mini,Box 100 x 2,185.0,,,105.0
Cohiba - Mini Limited Edition,Box 20 x 5,130.0,,,74.0
Cuaba - Distinguidos        ,Box 10,215.0,,,122.0
Davidoff - 2013 Discontinued Special C Culebra Bundle,Box 3x3,255.0,,,145.0
Davidoff - Aniversario Double R,Box 25,800.0,,,454.0
Davidoff - Aniversario Entreacto,Box 20,205.0,,,117.0
Davidoff - Aniversario Short Perfecto,Box 25,390.0,,,222.0
Davidoff - Aniversario Special R Tubos ,Box 20,345.0,,,196.0
Davidoff - Aniversario Special T,Box 20,455.0,,,258.0
Davidoff - Classic Ambassadrice,Box 25,166.0,,,95.0
Davidoff - Grand Cru No.3,Box 25,410.0,,,233.0
Davidoff - Grand Cru Robusto,Box 25,480.0,,,272.0
Davidoff - Millennium Blend Robusto Tubos,Box 20,405.0,,,230.0
Davidoff - Millennium Petit Corona ,Box 25,235.0,,,134.0
Davidoff - Nicaragua Toro Box Press ,Davidoff - Nicaragua Toro Box Press ,223.0,,,127.0
Davidoff - Oro Blanco,Box 12,4000.0,,,2267.0
Davidoff - Special R Tubos,Box 4x2,411.0,,,233.0
Davidoff - Winston Churchill Limited Edition Toro 2021,Box 20,340.0,,,193.0
Davidoff - Winston Churchill Petit Corona ,Box 10,265.0,,,151.0
Davidoff - Winston Churchill The Late Hour Churchills,Box 20,105.0,,,60.0
Davidoff - Winston Churchill Toro ,Box 4,375.0,,,213.0
Davidoff - Yamasa Robusto Tubos,Box 14,177.0,,,101.0
Hoyo de Monterrey - 2006 Hoyo Coronas,Box 25,1092.0,,,619.0
Hoyo de Monterrey - Epicure Especial,Box 10,236.0,,,134.0
Hoyo de Monterrey - Le Hoyo de San Juan,Box 10,251.0,,,143.0
Jose L. Piedra - Petit Caballeros,Box 15,90.0,,,52.0
La Gloria Cubana - 2013 Medaille D'Or No.4,Box 25,1335.0,,,757.0
Montecristo - Club,Box 100 x 2,185.0,,,105.0
Montecristo - Puritos,Box 25 x 2 ,110.0,,,63.0
Partagas - Chicos ,Box 25 x3,175.0,,,100.0
Partagas - Chicos,Box 50 x 2,99.0,,,57.0
Partagas - Mille Fleurs ,Box 10,119.0,,,68.0
Partagas - Mini,Box 100 x 2,160.0,,,91.0
Partagas - Serie Puritos,Box 50,71.0,,,41.0
Quintero Y Hermano - Favoritos,Box 5x5,134.0,,,76.0
Romeo Y Julieta - Club Kings,Box 5x10,638.0,,,362.0
Romeo Y Julieta - Mini,Box 100 x 2,160.0,,,91.0
Romeo Y Julieta - Petit Churchills A/T,Box 15,277.0,,,157.0
Romeo Y Julieta - Romeo No.3 A/T,Box 10,119.0,,,68.0
Bolivar - B-2 Canada 2010,25 Box,,1540.0,,873.0
Bolivar - Petit Belicosos EL 2009,25 Box,,1480.0,,839.0
Cohiba - 1966 EL 2011,10 Box,,4880.0,,2765.0
Cohiba - Siglo IV A/T,15 Box,,1188.0,,674.0
Cuaba - Distinguidos,10 Box,,222.0,,126.0
Cuaba - Piramides EL 2008,10 Box,,980.0,,556.0
Diplomaticos - Bushido RE Asia Pacifico 2014 (No black/gold outer box),25 Box,,3300.0,,1870.0
Guantanamera - Cristales,10x5 Box,,99.0,,57.0
Guantanamera - Decimos,5x10 Box,,86.0,,49.0
H.Upmann - Magnum 48 EL 2009,25 Box,,1393.0,,790.0
Hoyo de Monterrey - Grand Epicure EL 2013,10 Box,,1286.0,,729.0
Hoyo de Monterrey - Palmas Extra,25 Box,,190.0,,108.0
Hoyo de Monterrey - Petit Robustos,15 Box,,216.0,,123.0
Hoyo de Monterrey - Regalos LE 2007,25 Box,,1470.0,,833.0
Hoyo de Monterrey - Short Hoyo Piramides EL 2011,10 Box,,987.0,,560.0
Jose L. Piedra - Petit Caballeros,15 Box,,114.0,,65.0
La Flor De Cano - Petit Coronas,25 Box,,125.0,,71.0
La Gloria Cubana - Unifree RE Turquia 2018,10 Box,,485.0,,275.0
Montecristo - Club,100 Box,,105.0,,60.0
Montecristo - Club,100x2 Box,,195.0,,111.0
Montecristo - Grand Edmundo EL 2010,10 Box,,1515.0,,859.0
Montecristo - Mini Filter Aroma,100 Box,,68.0,,39.0
Montecristo - Sublimes EL 2008,10 Box,,1950.0,,1105.0
Montecristo - Tubos,25 Box,,488.0,,277.0
Partagas - Chicos,5 x 20 Box,,165.0,,94.0
Partagas - Club,100x2 Box,,180.0,,103.0
Partagas - Serie C No.3 EL 2012,10 Box,,884.0,,501.0
Por Larranaga - Robustos De Larranaga RE Asia Pacifico 2007,25 Box,,1240.0,,703.0
Punch - 8-9-8 RE Asia Pacifico 2019,10 Box,,526.0,,299.0
Punch - Platinos RE India 2009,25 Box,,4425.0,,2508.0
Romeo Y Julieta - Churchills Anejados A/T,25 Box,,1206.0,,684.0
Romeo Y Julieta - Club Kings,5x10 Box,,459.0,,261.0
Romeo Y Julieta - Mini,100 Box,,106.0,,61.0
Romeo Y Julieta - Mini,100x2 Box,,200.0,,114.0
Romeo Y Julieta - Petit Churchills A/T,15 Box,,280.0,,159.0
