Product,ProductType,IH,CH,NT,PrecioAComprar
"Casa Fernandez Aniversario Cuban 109 Maduro 6""1/4 * 54",Box of 10,,,130.9,75.0
"Casa Fernandez Miami Aniversario Perfecto 2019 6""3/4 * 52",Box of 10,,,124.95,71.0
"Casa Fernandez Miami Aniversario Serie 2015 L.F. Celine 6"" * 56",Box of 10,,,108.95,62.0
"Casa Fernandez Miami Aniversario Serie 2015 L.F. Celine 6"" * 56",Single,,,12.4,8.0
"Casa Fernandez Miami Aniversario Serie 2015 Lancero 7""1/2 * 40",Box of 16,,,171.95,98.0
"Casa Fernandez Miami Aniversario Serie 2015 Lancero 7""1/2 * 40",Single,,,12.4,8.0
"Casa Fernandez Miami Reserva Robusto 52 5""1/4 * 52",Box of 15,,,133.95,76.0
"Casa Fernandez Miami Reserva Titan 60 6"" * 60",Box of 15,,,136.95,78.0
"Casa Fernandez Miami Reserva Titan 60 6"" * 60",Single,,,10.4,6.0
"Casa Fernandez Miami Reserva Toro 6"" * 54",Box of 15,,,135.95,78.0
"Casa Fernandez Miami Reserva Toro 6"" * 54",Single,,,10.1,6.0
"New Cuba Connecticut Presidente 7""1/2 * 50",Bundle of 25,,,49.95,29.0
"New Cuba Connecticut Robusto 5"" * 50",Bundle of 25,,,41.95,24.0
"New Cuba Connecticut Titan 6"" * 60",Bundle of 15,,,33.95,20.0
"New Cuba Connecticut Toro 6"" * 50",Bundle of 25,,,44.95,26.0
"New Cuba Corojo Presidente 7""1/2 * 50",Bundle of 25,,,37.95,22.0
"New Cuba Corojo Titan 6"" * 60",Bundle of 15,,,27.95,16.0
"New Cuba Corojo Toro 6"" * 50",Bundle of 25,,,34.95,20.0
"New Cuba Maduro Presidente 7""1/2 * 50",Bundle of 25,,,48.95,28.0
"New Cuba Maduro Titan 6"" * 60",Bundle of 15,,,31.95,19.0
"New Cuba Maduro Toro 6"" * 50",Bundle of 25,,,43.95,25.0
"Aging Room Bin No. 1 C Major 5""1/4 * 54",Box of 20,,,238.5,136.0
"Aging Room Bin No. 1 D Major 6"" * 54",Box of 18,,,240.95,137.0
"Aging Room Bin No. 1 D Minor 7"" * 38",Box of 20,,,188.95,108.0
"Aging Room Bin No. 1 G Major 6""1/4 * 63",Box of 20,,,264.95,151.0
"Aging Room Bin No. 2 B Minor 5"" * 52",Box of 20,,,233.95,133.0
"Aging Room Bin No. 2 C Major 5""3/4 * 54",Box of 20,,,238.5,136.0
"Aging Room Bin No. 2 Grande 6"" * 60",Box of 20,,,243.0,138.0
"Aging Room Bin No. 2 Grande 6"" * 60",Single,,,12.85,8.0
"Aging Room Core Connecticut Vivase 6"" * 50",Box of 20,,,164.95,94.0
"Aging Room Core Habano Major 6""1/2 * 60",Box of 20,,,137.03,78.0
"Aging Room Core Habano Mezzo 6"" * 54",Box of 20,,,126.24,72.0
"Aging Room Core Habano Mezzo 6"" * 54",Single,,,9.1,6.0
"Aging Room Core Habano Rondo 5"" * 50",Box of 20,,,116.73,67.0
"Aging Room Pelo de Oro Scherzo 5""1/2 * 55",Box of 10,,,138.67,79.0
"Aging Room Pelo de Oro Scherzo 5""1/2 * 55",Single,,,14.65,9.0
"Aging Room Pura Cepa Grande 6""1/2 * 56",Box of 20,,,246.64,140.0
"Aging Room Pura Cepa Grande 6""1/2 * 56",Single,,,13.05,8.0
"Aging Room Pura Cepa Mezzo 6"" * 54",Box of 20,,,237.51,135.0
"Aging Room Pura Cepa Mezzo 6"" * 54",Single,,,12.55,8.0
"Aging Room Pura Cepa Rondo 5"" * 50",Box of 20,,,228.38,130.0
"Aging Room Pura Cepa Rondo 5"" * 50",Single,,,12.05,7.0
"Aging Room Quattro Connecticut Concerto 7"" * 50",Box of 20,,,205.95,117.0
"Aging Room Quattro Connecticut Concerto 7"" * 50",Single,,,10.9,7.0
"Aging Room Quattro Connecticut Espressivo 5"" * 50",Box of 20,,,201.95,115.0
"Aging Room Quattro Connecticut Espressivo 5"" * 50",Single,,,10.7,7.0
"Aging Room Quattro Connecticut Maestro 6"" * 52",Box of 20,,,208.95,119.0
"Aging Room Quattro Connecticut Vibrato 6"" * 54",Box of 20,,,210.95,120.0
"Aging Room Quattro Maduro Concerto 7"" * 50",Box of 20,,,204.95,117.0
"Aging Room Quattro Maduro Espressivo 5"" * 50",Box of 20,,,199.95,114.0
"Aging Room Quattro Maduro Espressivo 5"" * 50",Single,,,10.65,7.0
"Aging Room Quattro Maduro Maestro 6"" * 52",Box of 10,,,99.65,57.0
"Aging Room Quattro Maduro Vibrato 6"" * 54",Box of 20,,,210.95,120.0
"Aging Room Quattro Maduro Vibrato 6"" * 54",Single,,,11.2,7.0
"Aging Room Quattro Nicaragua Concerto 7"" * 50",Box of 20,,,201.95,115.0
"Aging Room Quattro Nicaragua Concerto 7"" * 50",Single,,,10.7,7.0
"Aging Room Quattro Nicaragua Espressivo 5"" * 50",Box of 20,,,199.95,114.0
"Aging Room Quattro Nicaragua Espressivo 5"" * 50",Single,,,10.6,7.0
"Aging Room Quattro Nicaragua Impromptu 6""1/2 * 52",Box of 10,,,114.8,66.0
"Aging Room Quattro Nicaragua Impromptu 6""1/2 * 52",Single,,,12.15,7.0
"Aging Room Quattro Nicaragua Maestro 6"" * 52",Box of 20,,,206.06,117.0
"Aging Room Quattro Nicaragua Maestro 6"" * 52",Pack of 5,,,50.95,29.0
"Aging Room Quattro Nicaragua Maestro 6"" * 52",Single,,,10.9,7.0
"Aging Room Quattro Nicaragua Vibrato 6"" * 54",Box of 20,,,206.95,118.0
"Aging Room Quattro Nicaragua Vibrato 6"" * 54",Single,,,10.95,7.0
"Aging Room Quattro Original Concerto 7"" * 50",Box of 20,,,200.95,114.0
"Aging Room Quattro Original Concerto 7"" * 50",Single,,,10.7,7.0
"Aging Room Quattro Original Espressivo 5"" * 50",Box of 20,,,190.95,109.0
"Aging Room Quattro Original Espressivo 5"" * 50",Single,,,10.15,6.0
"Aging Room Quattro Original Maestro 6"" * 52",Box of 20,,,199.95,114.0
"Aging Room Quattro Original Maestro 6"" * 52",Single,,,10.6,7.0
"Aging Room Quattro Original Vibrato 6"" * 54",Box of 20,,,200.95,114.0
"Aging Room Quattro Original Vibrato 6"" * 54",Single,,,10.65,7.0
"Aging Room Rare Collection Festivo 4""1/2 * 52",Box of 10,,,134.95,77.0
"Aging Room Rare Collection Festivo 4""1/2 * 52",Single,,,14.25,9.0
"Aging Room Rare Collection Scherzo 5""1/2 * 55",Box of 10,,,138.95,79.0
"Aging Room Rare Collection Scherzo 5""1/2 * 55",Single,,,14.75,9.0
"Aging Room Rare Collection Vivase 6"" * 60",Box of 10,,,142.95,82.0
"Aging Room Rare Collection Vivase 6"" * 60",Single,,,15.15,9.0
"Aging Room Solera Maduro Fanfare 6""1/8 * 57",Box of 21,,,121.31,69.0
"Aging Room Solera Maduro Fantastico 5""3/5 * 54",Box of 21,,,114.16,65.0
"Aging Room Solera Sun Grown Fanfare 6""1/8 * 57",Box of 21,,,121.31,69.0
"Aging Room Solera Sun Grown Fanfare 6""1/8 * 57",Single,,,8.35,5.0
"Aging Room Solera Sun Grown Fantastico 5""1/2 * 54",Box of 21,,,114.16,65.0
"Aging Room Solera Sun Grown Fantastico 5""1/2 * 54",Single,,,7.85,5.0
"Aging Room Solera Sun Grown Festivo 4""3/4 * 52",Box of 21,,,105.93,61.0
"Aging Room Solera Sun Grown Festivo 4""3/4 * 52",Single,,,7.3,5.0
"AJ Fernandez Bellas Artes Gordo 6""1/2 * 58",Box of 20,,,187.95,107.0
"AJ Fernandez Bellas Artes Gordo 6""1/2 * 58",Single,,,9.45,6.0
"AJ Fernandez Bellas Artes Robusto 5""1/2 * 52",Box of 20,,,160.95,92.0
"AJ Fernandez Bellas Artes Robusto 5""1/2 * 52",Single,,,8.1,5.0
"AJ Fernandez Bellas Artes Short Churchill 6"" * 48",Box of 20,,,151.95,87.0
"AJ Fernandez Bellas Artes Short Churchill 6"" * 48",Single,,,7.65,5.0
"AJ Fernandez Bellas Artes Toro 6"" * 54",Box of 20,,,169.95,97.0
"AJ Fernandez Bellas Artes Toro 6"" * 54",Single,,,8.55,5.0
"AJ Fernandez Bellas Artes Maduro Gordo 6""1/2 * 58",Box of 20,,,196.95,112.0
"AJ Fernandez Bellas Artes Maduro Gordo 6""1/2 * 58",Single,,,9.9,6.0
"AJ Fernandez Bellas Artes Maduro Lancero 7"" * 40",Box of 10,,,89.95,52.0
"AJ Fernandez Bellas Artes Maduro Lancero 7"" * 40",Single,,,9.5,6.0
"AJ Fernandez Bellas Artes Maduro Robusto 5""1/2 * 52",Box of 20,,,166.95,95.0
"AJ Fernandez Bellas Artes Maduro Robusto 5""1/2 * 52",Single,,,8.55,5.0
"AJ Fernandez Bellas Artes Maduro Short Churchill 6"" * 48",Box of 20,,,157.95,90.0
"AJ Fernandez Bellas Artes Maduro Short Churchill 6"" * 48",Single,,,8.1,5.0
"AJ Fernandez Bellas Artes Maduro TAA Figurado 6""1/2 * 52",Box of 20,,,240.0,137.0
"AJ Fernandez Bellas Artes Maduro TAA Figurado 6""1/2 * 52",Single,,,12.0,7.0
"AJ Fernandez Bellas Artes Maduro Toro 6"" * 54",Box of 20,,,178.95,102.0
"AJ Fernandez Bellas Artes Maduro Toro 6"" * 54",Single,,,9.0,6.0
"AJ Fernandez Dias de Gloria Gordo 6"" * 58",Box of 20,,,214.95,122.0
"AJ Fernandez Dias de Gloria Gordo 6"" * 58",Single,,,10.8,7.0
"AJ Fernandez Dias de Gloria Robusto 5""1/2 * 52",Box of 20,,,178.95,102.0
"AJ Fernandez Dias de Gloria Robusto 5""1/2 * 52",Single,,,9.0,6.0
"AJ Fernandez Dias de Gloria Short Churchill 6""1/2 * 48",Box of 20,,,160.95,92.0
"AJ Fernandez Dias de Gloria Short Churchill 6""1/2 * 48",Single,,,8.1,5.0
"AJ Fernandez Dias de Gloria Toro 6"" * 56",Box of 20,,,196.95,112.0
"AJ Fernandez Dias de Gloria Toro 6"" * 56",Single,,,9.9,6.0
"AJ Fernandez Last Call Habano Chiquitas 3""1/2 * 50",Box of 25,,,109.95,63.0
"AJ Fernandez Last Call Habano Chiquitas 3""1/2 * 50",Single,,,4.5,3.0
"AJ Fernandez Last Call Habano Corticas 4"" * 52",Box of 25,,,133.95,76.0
"AJ Fernandez Last Call Habano Corticas 4"" * 52",Single,,,5.4,4.0
"AJ Fernandez Last Call Habano Flaquitas 6"" * 46",Box of 25,,,142.95,82.0
"AJ Fernandez Last Call Habano Flaquitas 6"" * 46",Single,,,5.8,4.0
"AJ Fernandez Last Call Habano Geniales 4""1/2 * 48",Box of 25,,,116.95,67.0
"AJ Fernandez Last Call Habano Geniales 4""1/2 * 48",Single,,,4.95,3.0
"AJ Fernandez Last Call Habano Pequenas 5"" *46",Box of 25,,,138.95,79.0
"AJ Fernandez Last Call Habano Pequenas 5"" *46",Single,,,5.6,4.0
"AJ Fernandez Last Call Maduro Chiquitas 3""1/2 * 50",Box of 25,,,109.95,63.0
"AJ Fernandez Last Call Maduro Chiquitas 3""1/2 * 50",Single,,,4.5,3.0
"AJ Fernandez Last Call Maduro Corticas 4"" * 52",Box of 25,,,140.95,80.0
"AJ Fernandez Last Call Maduro Corticas 4"" * 52",Single,,,5.7,4.0
"AJ Fernandez Last Call Maduro Flaquitas 6"" * 46",Box of 25,,,151.95,87.0
"AJ Fernandez Last Call Maduro Flaquitas 6"" * 46",Single,,,6.15,4.0
"AJ Fernandez Last Call Maduro Geniales 4""1/2 * 48",Box of 25,,,125.95,72.0
"AJ Fernandez Last Call Maduro Geniales 4""1/2 * 48",Single,,,5.35,4.0
"AJ Fernandez Last Call Maduro Pequenas 5"" * 46",Box of 25,,,144.95,83.0
"AJ Fernandez Last Call Maduro Pequenas 5"" * 46",Single,,,5.85,4.0
"Enclave Broadleaf Belicoso 6"" * 56",Box of 20,,,168.95,96.0
"Enclave Broadleaf Churchill 7"" * 52",Box of 20,,,160.95,92.0
"Enclave Broadleaf Churchill 7"" * 52",Single,,,9.0,6.0
"Enclave Broadleaf Robusto 5"" * 52",Box of 20,,,143.95,82.0
"Enclave Broadleaf Robusto 5"" * 52",Single,,,7.65,5.0
"Enclave Broadleaf Toro 6""1/2 * 54",Box of 20,,,152.95,87.0
"Enclave Broadleaf Toro 6""1/2 * 54",Single,,,8.1,5.0
"Enclave Churchill 7"" * 52",Box of 20,,,129.95,74.0
"Enclave Churchill 7"" * 52",Single,,,7.65,5.0
"Enclave Figurado 6""1/2 * 52",Box of 20,,,133.95,76.0
"Enclave Figurado 6""1/2 * 52",Single,,,8.1,5.0
"Enclave Robusto 5"" * 52",Box of 20,,,121.95,70.0
"Enclave Toro 6"" * 52",Box of 20,,,128.95,74.0
"Enclave Toro 6"" * 52",Single,,,7.2,5.0
"AJ Fernandez New World Redondo 6""1/2 * 55",Box of 20,,,160.0,91.0
"AJ Fernandez New World Redondo 6""1/2 * 55",Single,,,8.0,5.0
"New World Almirante Belicoso 5""1/2 * 55",Box of 21,,,129.95,74.0
"New World Almirante Belicoso 5""1/2 * 55",Single,,,7.05,5.0
"New World Gobernador Toro 6""1/2 * 55",Box of 21,,,128.95,74.0
"New World Gobernador Toro 6""1/2 * 55",Single,,,6.95,4.0
"New World Navegante Robusto 5""1/2 * 55",Box of 21,,,124.95,71.0
"New World Navegante Robusto 5""1/2 * 55",Single,,,6.75,4.0
"New World Virrey Gordo 6"" * 58",Box of 21,,,140.95,80.0
"New World Virrey Gordo 6"" * 58",Single,,,7.5,5.0
"New World Cameroon Churchill 7"" * 48",Box of 20,,,120.95,69.0
"New World Cameroon Churchill 7"" * 48",Single,,,6.75,4.0
"New World Cameroon Double Robusto 5""1/2 * 54",Box of 20,,,102.95,59.0
"New World Cameroon Double Robusto 5""1/2 * 54",Single,,,5.85,4.0
"New World Cameroon Gordo 6"" * 60",Box of 20,,,138.95,79.0
"New World Cameroon Gordo 6"" * 60",Single,,,7.2,5.0
"New World Cameroon Short Robusto 4"" * 48",Box of 20,,,94.95,54.0
"New World Cameroon Short Robusto 4"" * 48",Single,,,5.4,4.0
"New World Cameroon Toro 6"" * 50",Box of 20,,,111.95,64.0
"New World Cameroon Toro 6"" * 50",Single,,,6.3,4.0
"New World Cameroon Torpedo 6""1/2 * 52",Box of 20,,,129.95,74.0
"New World Cameroon Torpedo 6""1/2 * 52",Single,,,6.95,4.0
"New World Connecticut Belicoso 6"" * 54",Box of 20,,,118.95,68.0
"New World Connecticut Belicoso 6"" * 54",Single,,,7.05,5.0
"New World Connecticut Corona Gorda 5""1/2 * 46",Box of 20,,,105.95,61.0
"New World Connecticut Corona Gorda 5""1/2 * 46",Single,,,6.3,4.0
"New World Connecticut Robusto 5"" * 50",Box of 20,,,114.95,66.0
"New World Connecticut Robusto 5"" * 50",Single,,,6.75,4.0
"New World Connecticut Toro 6"" * 52",Box of 20,,,117.95,67.0
"New World Connecticut Toro 6"" * 52",Single,,,6.95,4.0
"New World Puro Especial Gordo 6"" * 58",Box of 20,,,165.95,95.0
"New World Puro Especial Gordo 6"" * 58",Single,,,8.55,5.0
"New World Puro Especial Robusto 5""1/2 * 52",Box of 20,,,148.95,85.0
"New World Puro Especial Robusto 5""1/2 * 52",Single,,,7.75,5.0
"New World Puro Especial Short Churchill 6"" * 48",Box of 20,,,144.95,83.0
"New World Puro Especial Short Churchill 6"" * 48",Single,,,7.6,5.0
"New World Puro Especial Toro 6""1/2 * 52",Box of 20,,,160.95,92.0
"New World Puro Especial Toro 6""1/2 * 52",Single,,,8.1,5.0
"San Lotano Requiem Habano Churchill 7"" * 54",Box of 20,,,154.95,88.0
"San Lotano Requiem Habano Gran Toro 6"" * 60",Box of 20,,,153.95,88.0
"San Lotano Requiem Habano Gran Toro 6"" * 60",Single,,,9.0,6.0
"San Lotano Requiem Habano Robusto 5"" * 54",Box of 20,,,133.95,76.0
"San Lotano Requiem Habano Robusto 5"" * 54",Single,,,7.2,5.0
"Aladino Cameroon Elegante 7"" * 38",Box of 20,,,143.95,82.0
"Aladino Cameroon Elegante 7"" * 38",Single,,,7.6,5.0
"Aladino Cameroon Lonsdale 6"" * 43",Box of 24,,,167.95,96.0
"Aladino Cameroon Lonsdale 6"" * 43",Single,,,7.45,5.0
"Aladino Cameroon Robusto 5"" * 50",Box of 24,,,189.95,108.0
"Aladino Cameroon Robusto 5"" * 50",Single,,,8.4,5.0
"Aladino Cameroon Super Toro 6"" * 52",Box of 24,,,210.95,120.0
"Aladino Cameroon Super Toro 6"" * 52",Single,,,9.35,6.0
"Aladino Classic Corona 5"" * 44",Box of 20,,,125.95,72.0
"Aladino Classic Corona 5"" * 44",Single,,,6.65,4.0
"Aladino Classic Gordo 6""1/2 * 60",Box of 20,,,189.95,108.0
"Aladino Classic Gordo 6""1/2 * 60",Single,,,10.1,6.0
"Aladino Classic Robusto 5"" * 50",Box of 20,,,153.95,88.0
"Aladino Classic Robusto 5"" * 50",Single,,,8.2,5.0
"Aladino Classic Toro 6"" * 50",Box of 20,,,171.95,98.0
"Aladino Classic Toro 6"" * 50",Single,,,9.15,6.0
"Aladino Connecticut Queens 5""1/4 * 46",Box of 20,,,121.95,70.0
"Aladino Connecticut Queens 5""1/4 * 46",Single,,,6.5,4.0
"Aladino Connecticut Robusto 5"" * 50",Box of 20,,,139.95,80.0
"Aladino Connecticut Robusto 5"" * 50",Single,,,7.45,5.0
"Aladino Connecticut Toro 6"" * 50",Box of 20,,,157.95,90.0
"Aladino Connecticut Toro 6"" * 50",Single,,,8.4,5.0
"Aladino Corojo Reserva Figurado Box-Pressed 6""1/4 * 54",Box of 10,,,143.95,82.0
"Aladino Corojo Reserva Figurado Box-Pressed 6""1/4 * 54",Single,,,15.2,9.0
"Aladino Corojo Reserva LE No. 4 5""x 44",Box of 20,,,180.0,103.0
"Aladino Corojo Reserva LE No. 4 5""x 44",Single,,,9.5,6.0
"Aladino Corojo Reserva LE Robusto 5"" * 50",Box of 20,,,216.0,123.0
"Aladino Corojo Reserva LE Robusto 5"" * 50",Single,,,11.4,7.0
"Aladino Corojo Reserva Toro 6"" * 52",Box of 20,,,252.0,143.0
"Aladino Corojo Reserva Toro 6"" * 52",Single,,,12.6,8.0
"Aladino Habano Elegante Vintage Selection 7"" * 38",Box of 20,,,143.95,82.0
"Aladino Habano Elegante Vintage Selection 7"" * 38",Single,,,7.6,5.0
"Aladino Habano Rothschild Vintage Selection 4""1/2 * 48",Box of 50,,,269.95,153.0
"Aladino Habano Rothschild Vintage Selection 4""1/2 * 48",Single,,,5.7,4.0
"Aladino Habano Toro Vintage Selection 6"" * 50",Box of 20,,,157.95,90.0
"Aladino Habano Toro Vintage Selection 6"" * 50",Single,,,8.4,5.0
"Aladino Maduro Box Pressed Cazador 6"" * 46",Box of 20,,,170.95,97.0
"Aladino Maduro Box Pressed Corona 5"" * 44",Box of 20,,,116.95,67.0
"Aladino Maduro Box Pressed Corona 5"" * 44",Single,,,6.2,4.0
"Aladino Maduro Box Pressed Robusto 5"" * 50",Box of 20,,,188.95,108.0
"Aladino Maduro Box Pressed Robusto 5"" * 50",Single,,,10.0,6.0
"Aladino Maduro Box Pressed Toro 6"" * 50",Box of 20,,,206.95,118.0
"Aladino Maduro Box Pressed Toro 6"" * 50",Single,,,10.95,7.0
"Aladino Maduro Elegante  7"" * 38",Box of 20,,,134.95,77.0
"Aladino Maduro Elegante  7"" * 38",Single,,,7.6,5.0
"Aladino Churchill 7"" * 48",Box of 20,,,206.95,118.0
"Aladino Corona 5"" * 44",Box of 20,,,113.95,65.0
"Aladino Corona 5"" * 44",Single,,,5.85,4.0
"Aladino Elegante 7"" * 38",Box of 20,,,135.95,78.0
"Aladino Elegante 7"" * 38",Single,,,7.2,5.0
"Aladino Gordo 6""1/2 * 60",Box of 20,,,214.95,122.0
"Aladino Gordo 6""1/2 * 60",Single,,,10.8,7.0
"Aladino Patton 9"" * 48",Box of 10,,,179.95,102.0
"Aladino Patton 9"" * 48",Single,,,18.0,11.0
"Aladino Petit Corona 4"" * 40",Box of 20,,,98.95,57.0
"Aladino Petit Corona 4"" * 40",Single,,,4.95,3.0
"Aladino Robusto 5"" * 50",Box of 20,,,178.95,102.0
"Aladino Robusto 5"" * 50",Single,,,9.0,6.0
"Aladino Toro 6"" * 50",Box of 20,,,196.95,112.0
"Aladino Toro 6"" * 50",Single,,,9.9,6.0
"Rancho Luna Maduro Gordo 6""1/2 * 60",Box of 20,,,161.95,92.0
"Rancho Luna Maduro Toro 6"" * 50",Box of 20,,,134.95,77.0
"Alcazar Maduro No. 2 7"" * 50",Bundle of 20,,,54.95,32.0
"Alec & Bradley Blind Faith Gordo 6"" * 60",Box of 24,,,248.95,142.0
"Alec & Bradley Blind Faith Gordo 6"" * 60",Single,,,10.95,7.0
"Alec & Bradley Blind Faith Robusto 5"" * 52",Box of 24,,,205.95,117.0
"Alec & Bradley Blind Faith Robusto 5"" * 52",Single,,,9.05,6.0
"Alec & Bradley Blind Faith Toro 6"" * 52",Box of 24,,,226.95,129.0
"Alec & Bradley Blind Faith Toro 6"" * 52",Single,,,10.0,6.0
"Alec & Bradley Gatekeeper Corona 5""1/8 * 42",Box of 24,,,188.95,108.0
"Alec & Bradley Gatekeeper Corona 5""1/8 * 42",Single,,,8.35,5.0
"Alec & Bradley Gatekeeper Gordo 6"" * 60",Box of 24,,,264.95,151.0
"Alec & Bradley Gatekeeper Gordo 6"" * 60",Single,,,11.65,7.0
"Alec & Bradley Gatekeeper Robusto 5"" * 50",Box of 24,,,226.95,129.0
"Alec & Bradley Gatekeeper Robusto 5"" * 50",Box of 20,,,187.95,107.0
"Alec & Bradley Gatekeeper Robusto 5"" * 50",Single,,,10.0,6.0
"Alec & Bradley Gatekeeper Toro 6"" * 52",Box of 24,,,248.95,142.0
"Alec & Bradley Gatekeeper Toro 6"" * 52",Single,,,10.95,7.0
"Alec & Bradley Kintsugi Corona Gorda 5""5/8 * 46",Box of 24,,,166.95,95.0
"Alec & Bradley Kintsugi Corona Gorda 5""5/8 * 46",Single,,,7.4,5.0
"Alec & Bradley Kintsugi Gordo 6"" * 60",Box of 24,,,226.95,129.0
"Alec & Bradley Kintsugi Gordo 6"" * 60",Single,,,10.0,6.0
"Alec & Bradley Kintsugi Robusto 5"" * 50",Box of 24,,,182.95,104.0
"Alec & Bradley Kintsugi Robusto 5"" * 50",Single,,,8.1,5.0
"Alec & Bradley Kintsugi Toro 6"" * 52",Box of 24,,,201.95,115.0
"Alec & Bradley Kintsugi Toro 6"" * 52",Single,,,8.95,6.0
"Alec Bradley American Classic Blend Churchill 7"" * 48",Box of 24,,,158.95,91.0
"Alec Bradley American Classic Blend Churchill 7"" * 48",Single,,,7.0,5.0
"Alec Bradley American Classic Blend Gordo 6"" * 60",Box of 24,,,171.95,98.0
"Alec Bradley American Classic Blend Gordo 6"" * 60",Single,,,7.55,5.0
"Alec Bradley American Classic Blend Robusto 5"" * 50",Box of 24,,,141.95,81.0
"Alec Bradley American Classic Blend Robusto 5"" * 50",Single,,,6.25,4.0
"Alec Bradley American Classic Blend Toro 6"" * 50",Box of 24,,,150.98,86.0
"Alec Bradley American Classic Blend Toro 6"" * 50",Single,,,6.65,4.0
"Alec Bradley American Classic Blend Torpedo 6""1/8 * 52",Box of 24,,,158.95,91.0
"Alec Bradley American Classic Blend Torpedo 6""1/8 * 52",Single,,,7.0,5.0
"Alec Bradley American Sun Grown Churchill 7"" * 48",Box of 24,,,157.95,90.0
"Alec Bradley American Sun Grown Churchill 7"" * 48",Single,,,7.0,5.0
"Alec Bradley American Sun Grown Gordo 6"" * 60",Box of 24,,,170.95,97.0
"Alec Bradley American Sun Grown Gordo 6"" * 60",Single,,,7.55,5.0
"Alec Bradley American Sun Grown Toro 6"" * 50",Box of 24,,,150.95,86.0
"Alec Bradley American Sun Grown Toro 6"" * 50",Single,,,6.65,4.0
"Alec Bradley Black Market Churchill 7"" * 50",Box of 24,,,221.95,126.0
"Alec Bradley Black Market Churchill 7"" * 50",Single,,,9.75,6.0
"Alec Bradley Black Market Gordo 6"" * 60",Box of 24,,,232.95,133.0
"Alec Bradley Black Market Gordo 6"" * 60",Single,,,10.25,6.0
"Alec Bradley Black Market Punk 4""1/4 * 42",Box of 24,,,140.95,80.0
"Alec Bradley Black Market Punk 4""1/4 * 42",Single,,,6.2,4.0
"Alec Bradley Black Market Robusto 5""1/4 * 52",Box of 24,,,190.08,108.0
"Alec Bradley Black Market Toro 6"" * 50",Box of 24,,,213.95,122.0
"Alec Bradley Black Market Toro 6"" * 50",Single,,,9.4,6.0
"Alec Bradley Black Market Torpedo 6""1/8 * 54",Box of 24,,,221.95,126.0
"Alec Bradley Black Market Torpedo 6""1/8 * 54",Single,,,9.75,6.0
"Alec Bradley Black Market Esteli Diamond 6""1/4 * 54",Box of 16,,,141.95,81.0
"Alec Bradley Black Market Esteli Diamond 6""1/4 * 54",Single,,,9.35,6.0
"Alec Bradley Black Market Esteli Gordo 6"" * 60",Box of 24,,,232.95,133.0
"Alec Bradley Black Market Esteli Gordo 6"" * 60",Single,,,10.25,6.0
"Alec Bradley Black Market Esteli Robusto 5"" * 52",Box of 24,,,190.95,109.0
"Alec Bradley Black Market Esteli Robusto 5"" * 52",Single,,,8.4,5.0
"Alec Bradley Black Market Esteli Toro 6"" * 52",Box of 24,,,213.95,122.0
"Alec Bradley Black Market Esteli Toro 6"" * 52",Single,,,9.4,6.0
"Alec Bradley Black Market Esteli Torpedo 6""1/2 * 52",Box of 24,,,221.95,126.0
"Alec Bradley Black Market Esteli Torpedo 6""1/2 * 52",Single,,,9.75,6.0
"Alec Bradley Black Market Illicit TAA Toro 6"" * 50",Box of 22,,,192.5,110.0
"Alec Bradley Black Market Illicit TAA Toro 6"" * 50",Single,,,8.75,6.0
"Alec Bradley Connecticut Churchill 7"" * 50",Box of 24,,,188.95,108.0
"Alec Bradley Connecticut Churchill 7"" * 50",Single,,,8.35,5.0
"Alec Bradley Connecticut Robusto 5"" * 50",Box of 24,,,171.95,98.0
"Alec Bradley Connecticut Robusto 5"" * 50",Single,,,7.55,5.0
"Alec Bradley Connecticut Toro 6"" * 50",Box of 24,,,183.95,105.0
"Alec Bradley Connecticut Toro 6"" * 50",Single,,,8.1,5.0
"Alec Bradley Connecticut Torpedo 6""1/8 * 52",Box of 24,,,188.95,108.0
"Alec Bradley Connecticut Torpedo 6""1/8 * 52",Single,,,8.35,5.0
"Alec Bradley Coyol Double Churchill 7"" * 58",Box of 24,,,226.95,129.0
"Alec Bradley Coyol Double Churchill 7"" * 58",Single,,,10.0,6.0
"Alec Bradley Coyol Gordo 6"" * 60",Box of 24,,,218.95,125.0
"Alec Bradley Coyol Robusto 5"" * 52",Box of 24,,,186.95,106.0
"Alec Bradley Coyol Robusto 5"" * 52",Single,,,8.25,5.0
"Alec Bradley Family Blend The Lineage 770 7"" * 70",Box of 24,,,236.95,135.0
"Alec Bradley Family Blend The Lineage 770 7"" * 70",Single,,,10.4,6.0
"Alec Bradley Family Blend The Lineage Gordo 6"" * 60",Box of 24,,,212.95,121.0
"Alec Bradley Family Blend The Lineage Gordo 6"" * 60",Single,,,9.35,6.0
"Alec Bradley Family Blend The Lineage Robusto 5""1/4 * 52",Box of 24,,,181.95,104.0
"Alec Bradley Family Blend The Lineage Robusto 5""1/4 * 52",Single,,,8.05,5.0
"Alec Bradley Black Market Filthy Hooligan Shamrock 6"" * 50",Box of 10,,,112.95,65.0
"Alec Bradley Black Market Filthy Hooligan Shamrock 6"" * 50",Single,,,11.9,7.0
"Alec Bradley Filthy Hooligan 6"" * 50",Box of 24,,,239.95,136.0
"Alec Bradley Filthy Hooligan 6"" * 50",Single,,,10.5,6.0
"Alec Bradley Fine and Rare BC-(13)4EV 7"" * 50",Box of 11,,,260.0,148.0
